# DATE: 2014-06-26T05:37:23
#Pause,Count,Name
SHARYANTO,343,Steven Haryanto
RJBS,274,Ricardo SIGNES
TOBYINK,257,Toby Inkster
ADAMK,248,Adam Kennedy
MIYAGAWA,224,Tatsuhiko Miyagawa
FLORA,207,Florian Ragwitz
BINGOS,204,Chris Williams
SMUELLER,182,Steffen Mueller
TOKUHIROM,180,Tokuhiro Matsuno
INGY,175,Ingy dot Net
DAGOLDEN,160,David Golden
NUFFIN,158,Yuval Kogman
MARCEL,157,Marcel Gruenauer
BOBTFISH,152,Tomas Doran
ETHER,132,Karen Etheridge
KENTNL,126,Kent Fredric
DROLSKY,124,Dave Rolsky
DMAKI,123,Daisuke Maki
GUGOD,119,Liu Kang Min
SIMON,118,Simon Cozens
AUTRIJUS,112,Audrey Tang
BDFOY,112,brian d foy
PEVANS,109,Paul Evans
SHLOMIF,105,Shlomi Fish
SALVA,103,Salvador Fandino Garcia
BARBIE,102,Barbie
LBROCARD,102,Leon Brocard
MRAMBERG,101,Marcus Ramberg
MLEHMANN,100,Marc Lehmann
